업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
메가MGC커피 배곧한라비발디점,티,(ICE)상큼 리치티,4900,"하얀 눈 속을 달리는 빨간 코 루돌프와 닮은 리치티. 리치, 라임, 망고스틴 베이스에 레드 커런트, 로즈마리를 더한 상큼한 과일티",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/7/tC3cB13LSFazAIVHpH6MeBKVDkQ4hsj6pObgrIxxN_tymweTCRyWQeNgtmmyL5PMCLEPgBlG7HG0nXhaZ2CHsmmPg9UWucEtR5a0fjeRTMI=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)자몽차,4300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/M7XaI7am_xsI6xkOvy47y5DMDv1SUeddVHeXr8fs_LTes1yQ11N8mXm1hfP96sCzyL7gTWWifYKqoEGPwq_PzRqo575Nu9lJTS9jrFfGUuQ=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)자몽차,4300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/zP6WP2bGSz12K70xdLt4EafXJRsmcSLChU--eRbBKPZqX1uA53UYKucF0YbC6f_o84j-m_sA_wQVObkpQxBckSNWKgmnNDmZfzKB3iVq8lM=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)유자차,4300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/FOMm6mm39zlzNczKUXz12LVa2t7h5gxWp-ScWSk02qzmL0CfCz6G-zCD10idDU8DMTZwcqCidGZU38FPIl6n7I5albspg17KuP4PO_sb4C4=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)유자차,4300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/bDmWbkUvhJI6dwog3U1vO5P6rmli8g3eLugj5hIanmZuqVTom1PKR3u02QHoG_Zj3RuQG3FHj7_6qf08ytrgy8em4kCcc1cBkp169YXFv18=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)레몬차,4300,새콤한 레몬의 맛과 향을 오롯이 살린 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/wsz5AP253xHopKa63ZZYWoR_pgV786wW54xNtwtuWxQgBFBrKx_RW71STCAdfPS557RbK8LAiMdVrKvYWixhZQXwFxqDYZP6dCcERhylP5o=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)레몬차,4300,새콤한 레몬의 맛과 향을 오롯이 살린 과일티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/4/gOr0iRzIzfby7xTx1iXF7RUzmjKtL7K-s8vNeYPiX3arfO_9f-2pH5ucqF0eo09x7WTm0dd9hKgFEGK0t79a_TWllUoNEmPvYFnX7gfmmWU=.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)녹차,3500,고소한 감칠맛과 목 넘김이 부드러운 국내산 녹차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/Itrsrt4eAgEgJR6BivC9e90ESV-iZRq3RCxWECetz5IkJRrFuMxJ_Y1dqeuoOSLwPLxp3erUe8zgkEm1uPyEgMTyRRG7GfAalbPFlWKVdog=.jpg
메가MGC커피 배곧한라비발디점,티,(ICE)녹차,3500,고소한 감칠맛과 목 넘김이 부드러운 국내산 녹차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/9/27/9hDYlB3brlT0s2cVM9sH65SlMTy82WREQNS6v2PXIczfTBBcSOC2dvRvSC4P6j2T.jpg
메가MGC커피 배곧한라비발디점,티,(HOT)캐모마일,3500,특유의 풀내음을 통해 마음을 진정 시켜주는 마일드한 허브차,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/6/14/lJpBG9a5cI1FgRPz0sH227oHCUrFFcUTKPTLOc_8E4wEevBXCF0NjKMfEYVoMyFYHXqhMwaj26rVz8oUx-m46Ic0A-IWCo0XvQ_8VHaucwk=.jpg
