업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
더벤티 시흥배곧한라점,커피,(아이스)연유라떼,4000,더벤티의 진한 에스프레소에 달콤한 연유가 어우러진 부드러운 연유라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/hXYY5gzCM8mz0wKRVqrOgicvEhIpEgBQrg9sJKp75Dg2BxOL8dh2becPLVUBmQBlU2AlMYGKI1KaC6D_xWSOZqa_WJuhRMvvghluC5U_H7w=.jpg
더벤티 시흥배곧한라점,커피,(핫)연유라떼,4000,더벤티의 진한 에스프레소에 달콤한 연유가 어우러진 부드러운 연유라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/nN6MpKt8P6xvk0Y0Bb7v2vbu2_qrQJpeoh6XLf27EBhU6jg-3QBSMYAVe0g6GDuxmqzCFWf_5-Hn5hDO0boyoDnALPYwZlnxkD2XunJUEkA=.jpg
더벤티 시흥배곧한라점,커피,(아이스)카라멜마끼야또,4000,더벤티의 진한 에스프레소에 카라멜의 풍미가 어우러진 달콤한 카라멜 마끼야또,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/k7mE1-FqI7gkzGowxhQW2_rkaZ5BID6Fe2Pz54Ew85LJV5QG8aH2-YWbKM-itbYyV48ZFeg751k9nCFJGXM04juDN9qu8WXSZyMp-H0XBok=.jpg
더벤티 시흥배곧한라점,커피,(핫)카라멜마끼야또,4000,더벤티의 진한 에스프레소에 카라멜의 풍미가 어우러진 달콤한 카라멜 마끼야또,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/_NnZDD1L6Y6hz3oig1jllA8hyCEW7TY56H8d9Z3DIoPR5e-OzvQKL-fXb5IfjPIlE59vw9bkG5hiyAHk23qyegF0zy91HSSo5t9hJGIW_qU=.jpg
더벤티 시흥배곧한라점,커피,(아이스)카페모카,4000,더벤티의 진한 에스프레소에 달콤 쌉싸름한 초콜릿이 더해진 부드럽고 달콤한 카페모카,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/ln16WQ5QInmblj5PxEX2MWpD_Bb9FIKPWHBwPwlieYbOdDBc0nnFICLcF_btaU-4SirUpIEoMN6jTAb4T9Nuc7b3aGAh8KhQxK-81f3DLjo=.jpg
더벤티 시흥배곧한라점,커피,(핫)카페모카,4000,더벤티의 진한 에스프레소에 달콤 쌉싸름한 초콜릿이 더해진 부드럽고 달콤한 카페모카,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/6ir4ZBgE5HbRi8w8_Ml49Ag9Jn876xVZen3DyN3TJEC_y5IkU4T-P9v8xWAoulLfftfCuy-rs42XNIfQMegFojtMSpl86oe3mL2XH4Sjwv8=.jpg
더벤티 시흥배곧한라점,커피,(핫)토피넛라떼,4200,토피와 고소한 견과류의 풍미가 가득한 토피넛라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/17/huEMwgapRmfPuOBvP7ATmkSfihWk9j1uhtj1k1I77i1rL-tZIGqcVjWYwFSdzD6fgooegBYkhd-FG355QVRO-_vsAihMA_ZlisSCtLeEV0Y=.jpg
더벤티 시흥배곧한라점,커피,(아이스)토피넛라떼,4200,토피와 고소한 견과류의 풍미가 가득한 토피넛라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/10/17/l5OfxLHaU_B4k76K13ye2BE1bMI8O7sIDmmoxyxMF_oOjwynCwucQ6NgRZ0CX0-wrHGr7pD0maVeGSg3NP0mFXBhwRuHPV3ES2dSy8I39lU=.jpg
더벤티 시흥배곧한라점,커피,(아이스)오트초코카페라떼,4600,오트 베이스에 단백질 초코와 에스프레소를 더해 밸런스 있게 즐길 수 있는 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/1/21/LAY-cJr7UvRHI2Vl3pcAR34MfKWkI7AAoBUp3RcD5AL6T0diaTaQNqOeQBAPZ6sOFjSRCOy8Kf_vNRYs2NHxzi9pmsipOuh8IF4Xuda61h8=.jpg
더벤티 시흥배곧한라점,커피,(핫)오트초코카페라떼,4600,오트 베이스에 단백질 초코와 에스프레소를 더해 밸런스 있게 즐길 수 있는 카페라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/1/21/TMoYNCR24b9ylftVZuzGtTbjKxKe3y5MZ_a0KjkUp8uNf8ns-TGTsmwNYpA5r_KmO3R9fWCHn4oEGoUPWoxwmzt4T2iqac8p8tD94Y-O5Gw=.jpg
더벤티 시흥배곧한라점,커피,아샷추,4000,진한 홍차와 달콤한 복숭아에 더벤티의 진한 에스프레소가 어우러진 아샷추,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/8/jkX76IN9ubjAXt8KEpAk2S2WamtbB7R9a5QSO-l0RsWBVm-XQbL5uL6c8nmWwgr8UW24gaKWPNkqnUSjU0PHtHEQdo81NIiYxg6KXCWAatI=.jpg
더벤티 시흥배곧한라점,커피,레샷추,4500,달콤한 꿀과 상큼한 레몬에 더벤티의 진한 에스프레소가 어우러진 레샷추,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/5/8/ANYY265usGx86ZvvNzXQKAJbIGLJkE2Q1r0QPVh6X-aFcv1BwrcZ22CmxbdCQozhbr5F5MY6J40zmoyhlRhbdZKyzRfehuTHM1vzoeGKb_w=.jpg
더벤티 시흥배곧한라점,커피,콜드브루,4200,더벤티만의 저온 고농도 추출로 깔끔한 맛과 부드러운 풍미가 특징인 더벤티만의 콜드브루,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/UbsCbZUAlJo7JjHC4Hdfd9Nw5eyRElkG8iXFRI09ez3QFwehE4YFvVgubLQlC3wumMOcWjoj2LhsVkiu2dBigZHDPMEiP1uX48rCGm94wsE=.jpg
더벤티 시흥배곧한라점,커피,콜드브루라떼,4700,더벤티만의 저온 고농도 추출로 깔끔한 맛과 부드러운 우유가 어우러진 고소한 더벤티만의 콜드브루 라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/ggpEL9GaQjVngtBBopq-PFfGnP-QfohxBqVETrD_x_fppGqmLtFJEnnyZuaflPD-80oQLZcMH8Gr5K_9r_V5jzUzN-PMsYGS8IUB1Y3Q_ew=.jpg
더벤티 시흥배곧한라점,커피,바닐라크림콜드브루,4900,바닐라 크림의 달콤함과 부드러움이 더해져 깔끔하게 즐기는 콜드브루 [크림은 완전히 섞어서 제공되므로 이미지와 다를 수 있습니다],,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/-q4zYswTiGoLV6_NUaYP8IdQEDeDb999BmV9eganJ6INR_qITFKwpfMfnuGQBb56EXcSfKC8bMhPS1VYoXHksigssZPbPAagltkkjcd9veU=.jpg
더벤티 시흥배곧한라점,커피,헤이즐넛크림콜드브루,4900,헤이즐넛 크림의 고소함과 부드러움이 더해져 깔끔하게 즐기는 콜드브루 [크림은 완전히 섞어서 제공되므로 이미지와 다를 수 있습니다],,http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/3/28/siCPBtXjGaffEHqPrGyITVW7Im4dt4isXMLzZ55cLrEQfooO3VCcJlJHcbJTafpYY4pX8BLJbGqtp03SbWRBY527-Y4p08L0sgtvYVL-9GE=.jpg
더벤티 시흥배곧한라점,디카페인,디카페인 (아이스)아메리카노,3500,더벤티의 깊고 진한 커피풍미를 느낄 수 있는 아메리카노,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/3/24/HXQmouktkd8VWJf16yPvfFlXgmSzv16m5aXjTaJ3YvaeBnXDrXQhl5iEwyorGR35l6Mkn4lF-O_oTXG85ZoNVes9DQ_iK9CSspNnQ6nWBt4=.jpg
