업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
컴포즈커피 배곧테크노밸리점,커피,에스프레소,2000,비터홀릭 원두의 풍성한 크레마가 입안 가득히 느껴지며 고소 쌉쌀함이 담긴 음료 (HOT컵으로 기본 제공 됩니다.),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/u6Z2HcY7190nsSldOG9F9SaS1QZe-YA9s3kYcuVfxYvBpkkZLxCuXQD3AnpfIbY8Q1KFkc2_KiVwPVLCJYb7EY5L-i5VhthBPIXAzhm42Xs=.jpg
컴포즈커피 배곧테크노밸리점,커피,아메리카노,2000,진한 에스프레소에 물과 얼음을 더하여 컴포즈커피의 고소함과 커피 특유의 쓴맛을 초콜릿티하게 표현한 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/DVxOku5OR8Dgu5ikv01qIyd9eap5fsDi3_WXvRozvDt-YP8icVeXg9NS9SvgqWRmQuxcXxuUR0gOcm2QhtreGNL-7SH1HYLhdr0eu58PqzA=.jpg
컴포즈커피 배곧테크노밸리점,커피,꿀 아메리카노,2800,,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/2/6/9vnFX7YQWiQV6vpWAaVvEP4nV2KFH05Dqkq4Os3dwNur5nM4erp3y9_ca4pTyIm-kGTASqffkASanhUupx0iAUcMamIwd9W5qOZyc6f1C6o=.jpg
컴포즈커피 배곧테크노밸리점,커피,컴포즈 믹스커피,2800,,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/2/6/O1WS0GHCdufwB3L0zdj2Vkz8WQ2l-2qC4bCRfZA_nJSeQUKh6nYS3gD9bg4-HfU_jm-yx4OKaVkyYnLA1FrIgznL1PzP-o3Yv70FC_XtIqk=.jpg
컴포즈커피 배곧테크노밸리점,커피,카페라떼,3400,진한 에스프레소에 우유를 더하여 부드럽게 마실 수 있는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/5TRrEYU4njKAOuajq98vfzaBDlto7h2K4e7SDPUX3l5qFf7RgWNVKRlLEYE4PK51d_unRyAH-ogqoVZ0uXxOZRBgm6NSBR4vK0Nfe44antw=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 카페라떼,5000,진한 에스프레소에 우유를 더하여 부드럽게 마실 수 있는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/11/27/4T3eKSc2BkWNh5tvuCqyEWOk8HOjktmJUEtApUmSXzSWz2RzxJcaJc188gIkuJB1TK_hY5OPnjZEq2-QfA87QGedFm9dz2FqVY5VfwpFVT0=.jpg
컴포즈커피 배곧테크노밸리점,커피,카푸치노,3400,풍부한 거품의 스팀밀크와 향긋한 시나몬 향을 느낄 수 있는 음료 (시나몬 없이 주문 가능),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/zG79Ul7l-SITa4Tv_YEPtFeEk1vASzbJxL6xNWutQC5B-aHCj0Ek42-n8RRXSTMSYbuJLwjL-2SiJUVw0os47Ey_vIn7bz-Z-4kuToOd43s=.jpg
컴포즈커피 배곧테크노밸리점,커피,바닐라라떼,3800,바닐라향과 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/uC3TjgPXYcPh4emyz6N4MIaGNgGszzAylOqXORwxqS_I_Dbq1QW0N1vddou6IQUNUdLDK2EWYQWDWLnpa4qlJaoyZ1LYyBAiLJCactiu8L8=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 바닐라라떼,5400,바닐라향과 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/11/27/zPmbF9l4vhdfGiHYKuc9aM2IlQ7omkbhmF02aneBHYu0F-FwCIL5aIgZa3zUhyERj-h3YZDWndpkaEV87EdcQlybcJSixWus6z1C9--D4DI=.jpg
컴포즈커피 배곧테크노밸리점,커피,헤이즐넛라떼,3800,헤이즐넛 향과 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/eXzvouDI0oQJNEVmpPrl4c8xRbAL9KDAKDX-03ccoaiAfRoyBWbnjm7WhYuDHE7xisirW2XKG-TJGLf_-DuIA-WEg64g8fNz8Ir4d86Nqc4=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 헤이즐넛라떼,5400,헤이즐넛 향과 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/11/27/zM52T6mxoslVIbP1X-xc-ZPw_lGyg_8bLoqJ4VRBVs3D8VUG-mE09PE_lLncpmlRxCffehuP6-YW-tTuTpGGAT9cCKmw7tZmQEj6OoBbCI0=.jpg
컴포즈커피 배곧테크노밸리점,커피,카라멜마끼아또,3800,달콤한 카라멜과 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/YKxA5Zl_jw4bVt75V3Uj2V6G2DQNTMONu-GwoXfrK0aKvjsPFNNgsMy9R2G8OxkqnznJKOd4mKhx0HbSzhPePNePgUEXEGVfmODZ2OdIdhc=.jpg
컴포즈커피 배곧테크노밸리점,커피,카페모카,4000,달콤한 초콜릿과 부드러운 카페라떼의 조화 (휘핑크림 없이 주문 가능),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/V6RgdpHLJqHfIdiPs_lAI2FM8524fXTiuZvYkNl8BTtXm6cHTD-vwEt3Fd214f3N5Xe67Q1RKcm1Mf1rOsBg3r3iqdaboF1JtpTh_RqOHN8=.jpg
컴포즈커피 배곧테크노밸리점,커피,아샷추,4000,,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/10/25/9bqkn5-fpJepJ_trPH3br-3RPzvMwEaxeO5cHuvYQnHKHo-CW-xIsNlj9EN1WeaQUZuY8p3ecXzvE-G1VEC5vEzqz_tzF-4cWrSKJ4AaR9g=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 아샷추,4900,,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/10/25/wXLaMc-V3fT8T7sciTLY8g6B6hVZ-RkUKjJhZ1qqrfhxbX4AwSIv2YsU0khKmgpbP7NIB7fbxFIF64OjR-T214LcdPG9z0NlfJ8rxqxAdaE=.jpg
컴포즈커피 배곧테크노밸리점,커피,돌체라떼,4300,달콤한 연유와 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/3sfqjLeB92A48uU7P2vTlkUMhT0f9MlPOrG8uJ_esHov4EtPwkwpOAfapeqrLcagI28LeqDkxW7qrc2SUKrVZLE7qlpCaqu-mwZCwDLf3Hc=.jpg
컴포즈커피 배곧테크노밸리점,커피,빅포즈 돌체라떼,5900,달콤한 연유와 부드러운 카페라떼의 조화,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/11/27/RCOyKsqxljB_SpTxlkv6cjF9z1DoEGUuxFcpo4vVextW4-tbsioGZPWbce26wMMd3rhl2ejjEe9onSqEVq6fId38kHRc3-YYx_k-YnzteCk=.jpg
컴포즈커피 배곧테크노밸리점,커피,흑당 카페라떼,4300,달콤 쌉쌀한 흑당과 부드러운 카페라떼의 조화 (펄이 기본 제공되지 않습니다.),,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/653HNGut-rSX3LgapHEWaktRq5p0dkdyec94__SHHXiX1x7CL1rFLaimyUptVmmOPrOifyXVJjzJ9OTgHCJaVVF0MMKr-R7nTDosjNkktdU=.jpg
컴포즈커피 배곧테크노밸리점,커피,흑당 버블 카페라떼,5000,"모리셔스 흑당의 깊은 단맛과 에스프레소, 쫄깃한 타피오카 펄의 조화",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2026/7/7/6evR1aXhmPgW79PMt3cxXQAhCkxghXF5J_uXNjFedzZyJqW6Z-a5WIEwFmLM6Idu_uThld6NTEIEb5MqqHYsvDwfL0_frgNQL1fBm6dm0Nc=.jpg
컴포즈커피 배곧테크노밸리점,커피,아인슈페너라떼,4700,카페라떼와 컴포즈커피 시그니처 크림이 어우러지는 음료,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/V_vxSI4w8NFlvb1ui3RbPRXyuKYlmYTBbIA7O-UV3TmlmUpo0hh8N7_Yqh5CSPb1p0c-11jzGMt_s8i3Y9UqU4KyqDOeT_gaMIxDUL0kJOQ=.jpg
컴포즈커피 배곧테크노밸리점,커피,달고나라떼,4500,달콤한 카페라떼 위의 달고나,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/4/19/7msK8J7tvcrOHUYxOuBiW557wYuSP8UALv_iq6JdmnF1ivMILKxdrketYbIkBvSJH0ZcYHTC-tY1H-1U1giq6C4a8W-grMzweMfn5_0PEPU=.jpg
