업소명,카테고리,메뉴명,가격,설명,대표메뉴,이미지URL
우지커피 배곧한라비발디점,플랫사이즈 에스프레소 음료,커피오렌망(ONLY ICE),4700,(SMALL SIZE) 상큼함과 부드러운 에스프레소와 이색적인 만남으로 이루어진 플랫커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/nPAxUpT1aCCnH8yvGnV4sUUZO0jKr6ScvKIBe9McUNIc40htWfmDWU7ROWWnPbeITNTicxJ5Mm-pI2v7JS0DePaUZMMyC0vT7xrfNqYIgJs=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,할미숫가루 (보틀포함),8500,"여름엔 얼음 동동 미숫가루, 오곡의 고소함과 달콤함이 가득한 할머니가 타주는 손맛 가득 진하고 시원한 미숫가루",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/4/29/Y_UqGKJMOaePo1Q2MoslIYHbto41K0-53qr-RBLoFhb_Hqr7bzSuKr5n6pck-uGUL3rLqrq_G4QlWOQuavWJmKOldzV1y2CCUQnSN1-Tuy8=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,아메리터 (보틀포함)((ONLY ICE)),5800,3샷이 들어간 1L 대용량 아이스 아메리카노로 더 진하고 풍부한 향을 느낄 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/GPL6kH2AB-ZreH-pek56ldGVOXS24QxBNXfYZOXfGsKG8RG_N_Or8wCeylp240RqhRZH28WJvRlq3TmyZDzgoZ9zb2InrQXzsjsz9vnKpDs=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,디카페인 아메리터(보틀포함),7300,디카페인 4샷이 들어간 1L 대용량 아이스 아메리카노로 더 진하고 풍부한 향을 느낄 수 있는 디카페인 커피를 보틀로 즐겨보세요,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/17/BihxtIcKSvZ3iU7I0iSM7JuTwLULOA-3FejvEwiE1aD55n1-yKOYAMcsHSQfGS91zFyoI4nk_8dD3kiR_O3OPPBjv9Ae532b3gfrB9s2rkI=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,딥카페라떼 (보틀포함),7300,"우지커피 시그니처 메뉴 딥 카페라떼. 
진한 에스프레소에 우지커피만의 시그니처밀크를 더해
더욱 진하고 고소한 대용량 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/8DrhtaPnXqqnRNyoRvHY70wcqg8WDelc3iwTBrlWM3KQn7I0-aGc2xamkIfUqC7F_3Tweqf7kjCw2RSlxpoTeOlWdggxgaEIuK9vGA41KHM=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,디카페인 딥카페라떼 (보틀포함),8800,우지커피 시그니처 메뉴 딥 카페라떼. 진한 디카페인 에스프레소와 우지커피만의 레시피로 만든 숙성우유가 만나 더욱 진하고 고소한 디카페인 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/QIvFNZAg8L11KlW8QxHc0zA6E4ULbILenfk30AemlM0VqAOqPCHEoG0253MR3F0dKFcUsxGVrfSoSxSmwog4t3XQozTg5LYWob00NRi2nnw=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,카페라떼 (보틀포함),7300,진하고 깊은 에스프레소에 신선하고 고소한 100% 원유를 더해 더욱 맛있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/pWCwS6-mCm_b6NHB5ZydHoF_QvOPbjbfrl8aeyThEDWvChFYjH94CtQEIh4sC_RGgaFH5dFqcXI8jdoQJv3Y7ykDJffuzKoHm8zon-StowU=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,디카페인 카페라떼 (보틀포함),8800,진한 디카페인 에스프레소에 신선하고 고소한 100% 원유를 더해 더욱 맛있는 디카페인 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/L5EO3A_RcgqUN5puPNDWo2VvtxsrDyJ8Fj4on9OEzeLNnUDgyQpKsyh7lixIPK8peDbIGjx2O4_I2aszxHfc9e4TcU_8viQFxDthoclSjTo=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,바닐라라떼 (보틀포함),8500,"부드러운 라떼에 진한 바닐라의 맛과 향을 더해
기분좋은 달콤함을 즐길 수 있는 대용량 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/dOrHQ6bWPS371f98GhHXWeuHLi9Z7czwaNRgH_nhVmWiVkHwL5EKxarfHfttBLM7MCms6iQ-Kj0v3h1vPjvPzjQ2A7iZGNHAynwOj5favFY=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,디카페인 바닐라라떼 (보틀포함),10000,부드러운 디카페인 라떼에 진한 바닐라를 넣어 기분좋은 달콤함을 즐길 수 있는 디카페인 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/aQFXI830qzV_uCU6xSLGKeqmJtwA5j_mAzTy-GnPGFN67a-WCPxvCuk12pHYCqemmwzFdNHkl-FiQyTK_c7YLK1DKmKoOV_QFpYsw_KCidg=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,우지믹스커피 (보틀포함)((ONLY ICE)),6500,둘.둘.셋 추억의 그 커피 진하고 달달한 믹스커피 스타일의 1.1L 대용량 사이즈 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/lTfbsQCDyw8jTGVgnmiCstIJd6uTOLXsNxiWsVUCwcrng4wComaLsUaPXnKh2gm7Zgzl59Ge2NEfGTjgEK1XFyZJJGc2gz0yL8PJ5OINuOk=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,초코라떼 (보틀포함)((ONLY ICE)),8000,진한 다크초콜릿과 부드러운 우유가 어우러져 달콤함이 가득한 1.1L 대용량 사이즈 초코라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/SJ0NLJAIYSEZ1J5a66FWq7IeQnacsPR-gVGzsDqX2_fvv4paix6uLrMwdzOfHqQQpLewquLlClTbAqz1ya32P-mHhcXvGMT2WybZkeqpSOI=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,리얼딸기라떼 (보틀포함)((ONLY ICE)),7800,신선한 우유에 달콤한 딸기를 듬뿍 넣어 딸기 과육이 가득한 1.1L 대용량 사이즈 딸기라떼,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/Gx60gYDJc_YEsK-XhaVHdjxDVIA0TxcNRedPL6z8L14zOeu-jAM75hFbY3QVopgKYUVTmDIzeCLXika2LuPd25NTLV8q8suboTmYceNbZ1s=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,복숭아아이스티 (보틀포함)((ONLY ICE)),7000,새콤달콤 복숭아의 상큼함과 홍차의 깔끔함이 어우러진 1.1L 대용량 사이즈 아이스티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/kRvfm_kwRKaKyHiqulU-l7_4GH8DY8GL_EfJwN2l7miUEALSO-hsbKGWp_tujMsmfUpZ2FC9iLPZSpI3NBp8a50QoE-mPtSzusnCTWijuDY=.jpg
우지커피 배곧한라비발디점,대용량(1.1L) 보틀 음료,석류아이스티 (보틀포함)((ONLY ICE)),7000,새콤달콤 석류의 상큼함과 홍차의 깔끔함이 어우러진 1.1L 대용량 사이즈 아이스티,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/11/20/_F3A3txNdwR9Odd8G9zHCIpJeaCXYJtV1Ue_J50TTBKMa3pz8zbhonbtnFygOl6H1aPxcCMH2rAqdDlqEMqVYqLNJM9Pa6wkf1y-Vgn2YVQ=.jpg
우지커피 배곧한라비발디점,커피,아메리카노,2800,에스프레소에 물을 혼합한 커피 우지커피만의 균형잡힌 밸런스와 신선하고 진한 애프터테이스트가 특징인 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/4Qhu1zf8e3nJQztO_GkEy6MphoxpyoOpKmrkoSk55ezfgPnVh0tk7S1cKz3HvcmQfz9tUFWazQeGzBMP6PDJrCT8TQUv2PAJsalT4t6gyBI=.jpg
우지커피 배곧한라비발디점,커피,"아메리터 (1L, 보틀 미포함)(ONLY ICE)",4300,3샷이 들어간 1L 대용량 아이스 아메리카노로 더 진하고 풍부한 향을 느낄 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/g36FD9NB6ZwfDJwC7WYCjQRmiD-cA2L9ZbKiLGRJtLAdyeJ05W11g2v0AJsmdWWGqntYNm5hw2R99n_4MXL5PfIkPBKL8YW_HLD0UH-RaBQ=.jpg
우지커피 배곧한라비발디점,커피,헤이즐넛 아메리카노,4200,진한 아메리카노에 헤이즐넛시럽을 더해 더욱 깊고 달달한 헤이즐넛 맛을 즐길 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/vzpIQW2evXSO7XW3rG2ephQSBg285mzun1vfgjmzOQiQwZ_MlakiKNoHzGRgFJTRHucPc5y2cTPaoJrtzu9V-HTI46A4XGLyfDYmNalInm4=.jpg
우지커피 배곧한라비발디점,커피,제로 헤이즐넛 아메리카노,4400,"당류 0g. 제로 헤이즐넛 아메리카노
헤이즐넛의 향과 풍미는 그대로 살린 
부담없고 가벼운 헤이즐넛 아메리카노",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/SmUTtwcCgYxFyW-QB6_PS-oIQwfWVHjmn5kawLAWOcti8Av7A_hkTR84WKMSlD9a0UjiT2QEUvrR-N8wSix_MeUJf5gnGbBO9UucrRmOxc8=.jpg
우지커피 배곧한라비발디점,커피,피칸 아메리카노,4200,진한 아메리카노에 피칸시럽을 더해 더욱 깊고 고소한 피칸 맛을 즐길 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/4wklNAF1mi_fL_7-5-ymElzq9UqEW1KMhZb5eFJ1E9gIQWdvmah8SM8I25sYM8dqUzjdTxItQ6cM5yN1EVEhhrYtkfV3rJrdN4tcBo_tjeQ=.jpg
우지커피 배곧한라비발디점,커피,꿀 아메리카노,4200,진한 아메리카노에 달달한 벌꿀을 더해 자극없이 편안하게 달콤함을 즐길 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/g-3ShMe2Lhv8u8DXTyT_U7Yw07lFTr5fK56F5RSPP9TBlRmUPiIxOXmj-cmLLW4YlZnJlwhir7pk_o85vPqFFiHhR2a5EQ0A0T7DPPCu8yQ=.jpg
우지커피 배곧한라비발디점,커피,[SIGNATURE] 딥카페라떼,4300,우지커피 시그니처 메뉴. 진한 에스프레소와 우지커피만의 레시피로 만든 시그니처밀크가 만나 더욱 진하고 고소한 커피,O,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/bfLhFmi1O6ADe2uCFfCDBhv0IRdtUuJcB_kIaQIVF2aQYFgb8mbS8-DJdkPoe_mh6AdZPG6Xj0lllV30q9iaXnV0Mx2PJ2v5ijx6cmPBLbI=.jpg
우지커피 배곧한라비발디점,커피,"딥카페라떼 (1L, 보틀 미포함)",5800,"우지커피 시그니처 메뉴 딥 카페라떼. 
진한 에스프레소에 우지커피만의 시그니처밀크를 더해
더욱 진하고 고소한 대용량 커피",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/seChlIv36_58iRF2GJqiWBMcnhtoF6q1vc8H_BqtUMkoxUBjnYZFwYbUMWMgW0JSUqp3R_gzi7gM4j6rqalOqzXnfi1GosVRkdALGBj-1_4=.jpg
우지커피 배곧한라비발디점,커피,카페라떼,4300,진한 에스프레소에 신선하고 고소한 100% 원유를 더해 더욱 맛있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/2318Qd0hc2DZpmnUgTK36uTISfCGw_KK0Bpy6uWB6XHJzEfl-HOkZWZ5vtLv5V4RXeyiUesmlHfgMelH_TtPHTMzJ0Pkw89LvP9TLU_E0Vg=.jpg
우지커피 배곧한라비발디점,커피,"카페라떼 (1L, 보틀 미포함)",5800,진하고 깊은 에스프레소에 신선하고 고소한 100% 원유를 더해 더욱 맛있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/P2Q6gtTNRuTyoKcsKq35C0eIQw5IYAQ85Jjyx2AqQBJcoI35VRa-i3jFc1gmLpnrHusCHxZ6dBMuJqWAWwuSsShBGxbjY06vAmeeW80pYs0=.jpg
우지커피 배곧한라비발디점,커피,바닐라라떼,5000,부드러운 라떼에 더욱 진한 바닐라를 넣어 기분 좋은 달콤함을 즐길 수 있는 커피,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/8/9/4AvdXGUtG0rfOzEydq3WiTNo_feZfvcEmWWDPnta0lyXhCfamtF1Fgb8QYei_GLRNX7RG09CjTwDtdgPTR563NInZQfffxz93SfVmaXm6DU=.jpg
우지커피 배곧한라비발디점,커피,라이트 바닐라라떼,5400,"열량 30% 다운. 
칼로리는 낮추고, 바닐라의 달콤함과 
부드러움은 그대로 살린 라이트 바닐라라떼",,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/6/25/7sqA0fKFVIBEilRYEyf8SQV9WVTuLFfVwMZVJp9QQrowAjck53uaI0dEXPt89ZWX6EPF1mdQrvSeQ3XxgEewEcrcxYkswtZQPtgd6-OPOX0=.jpg
우지커피 배곧한라비발디점,커피,오모테산도커피,5800,도쿄에서 유명한 커피메뉴를 우지커피의 레시피로  재해석하여 화산처럼 버블이 생기는 신기한 비주얼의  아이스 초코 카푸치노 부드러운 초코와  커피의 조화가 좋아 누구나 즐길 수 있는 맛의 커피메뉴,,http://imagefarm.baemin.com/smartmenuimage/upload/image/2025/8/27/ABT1UtMqjQmCOTy49pl31AEA4oeytFVP7baxDPRqJC32rTrJYidvhiDTXo9Uu1_MNsDDnXCfkk4hmwmuFaPraiu2B6tr3ScRvXfR1u3e8jg=.jpg
