menu_id,restaurant_id,name,price,image_url
cafe_001_menu_139,cafe_001,자두피치스무디,4700,
cafe_001_menu_140,cafe_001,쿠키앤크림프라페,4400,
cafe_001_menu_141,cafe_001,자바칩프라페,4400,
cafe_001_menu_142,cafe_001,코코넛커피프라페,5000,
cafe_001_menu_143,cafe_001,솔티드카라멜프라페,4400,
cafe_001_menu_144,cafe_001,복숭아아이스티,3500,
cafe_001_menu_145,cafe_001,(아이스)트리플민트,3000,
cafe_001_menu_146,cafe_001,(핫)트리플민트,3000,
cafe_001_menu_147,cafe_001,(아이스)애플히비스커스,3000,
cafe_001_menu_148,cafe_001,(핫)애플히비스커스,3000,
cafe_001_menu_149,cafe_001,(아이스)녹차,3000,
cafe_001_menu_150,cafe_001,(핫)녹차,3000,
cafe_001_menu_151,cafe_001,(아이스)얼그레이,3000,
cafe_001_menu_152,cafe_001,(핫)얼그레이,3000,
cafe_001_menu_153,cafe_001,(아이스)캐모마일,3000,
cafe_001_menu_154,cafe_001,(핫)캐모마일,3000,
cafe_001_menu_155,cafe_001,(아이스)자스민,3000,
cafe_001_menu_156,cafe_001,(핫)자스민,3000,
cafe_001_menu_157,cafe_001,(아이스)호박팥차,3500,
cafe_001_menu_158,cafe_001,(핫)호박팥차,3500,
cafe_001_menu_159,cafe_001,(아이스)레몬머틀,3500,
cafe_001_menu_160,cafe_001,(핫)레몬머틀,3500,
cafe_001_menu_161,cafe_001,(아이스)허니유자티,4000,
cafe_001_menu_162,cafe_001,(핫)허니유자티,4000,
cafe_001_menu_163,cafe_001,(아이스)허니자몽티,4000,
cafe_001_menu_164,cafe_001,(핫)허니자몽티,4000,
cafe_001_menu_165,cafe_001,(아이스)허니레몬티,4000,
cafe_001_menu_166,cafe_001,(핫)허니레몬티,4000,
cafe_001_menu_167,cafe_001,(아이스)오미자석류티,4000,
cafe_001_menu_168,cafe_001,(핫)오미자석류티,4000,
cafe_001_menu_169,cafe_001,(아이스)꿀배생강티,4000,
cafe_001_menu_170,cafe_001,(핫)꿀배생강티,4000,
cafe_001_menu_171,cafe_001,(아이스)더쌍화차,4000,
cafe_001_menu_172,cafe_001,(핫)더쌍화차,4000,
cafe_001_menu_173,cafe_001,(아이스)자몽허니블랙티,4000,
cafe_001_menu_174,cafe_001,(핫)자몽허니블랙티,4000,
cafe_001_menu_175,cafe_001,(아이스)유자애플티,4000,
cafe_001_menu_176,cafe_001,(핫)유자애플티,4000,
cafe_001_menu_177,cafe_001,디카페인콜드브루500ml,12000,
cafe_001_menu_178,cafe_001,우도땅콩초코쫀득빵,4000,
cafe_001_menu_179,cafe_001,초코라즈베리샌드쿠키,3000,
cafe_001_menu_180,cafe_001,땅콩카라멜샌드쿠키,3000,
cafe_001_menu_181,cafe_001,커피크림 커피번,4500,
cafe_001_menu_182,cafe_001,우유크림 커피번,4500,
cafe_001_menu_183,cafe_001,크랜베리 초코칩 촉촉쿠키,4000,
cafe_001_menu_184,cafe_001,화이트초코 말차 촉촉쿠키,4000,
cafe_001_menu_185,cafe_001,더블초코 스모어 촉촉쿠키,4000,
cafe_001_menu_186,cafe_001,치즈빵빵,2800,
